hire_ref;booked_on;depot;region;asset_ref;asset_name;hire_days;day_rate_gbp;account_ref;status;delivered
H102803;03/12/2024;Norwich Depot;East;PB-15;Powered Barrow;1;44.22;ACC0089;completed;N
H102804;18/06/2023;Norwich Depot;East;EX-140;13T Excavator;1;321.63;ACC0013;completed;Y
H102805;26/05/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;1;33.42;ACC0103;completed;Y
H102806;14/08/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;79.42;ACC0242;completed;Y
H102807;28/04/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;39.85;ACC0192;completed;Y
H102808;27/09/2023;Bristol Depot;South West;PB-15;Powered Barrow;3;40.56;ACC0107;completed;Y
H102809;02/03/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;3;23.78;ACC0036;completed;Y
H102810;13/04/2023;Norwich Depot;East;PB-15;Powered Barrow;1;43.47;ACC0031;completed;Y
H102811;20/03/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;28;32.36;ACC0214;completed;Y
H102812;01/05/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;43.05;ACC0206;completed;Y
H102813;08/07/2023;Leeds Depot;North;WP-02;Water Pump 2in;-2;22.17;;cancelled;N
H102814;23/11/2024;Bristol Depot;South West;PB-15;Powered Barrow;7;40.9;ACC0258;completed;Y
H102815;16/06/2023;Bristol Depot;South West;PB-15;Powered Barrow;14;38.96;ACC0253;completed;Y
H102816;10/07/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;80.66;ACC0144;completed;Y
H102817;14/05/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;1;40.14;ACC0131;completed;Y
H102818;15/12/2023;Leeds Depot;North;GEN-60;60kVA Generator;-1;92.94;ACC0112;cancelled;Y
H102819;03/03/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;23.96;ACC0149;completed;Y
H102820;05/07/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;7;66.93;ACC0160;open;N
H102821;19/06/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;5;66.7;;completed;Y
H102822;19/03/2024;Leeds Depot;North;PB-15;Powered Barrow;2;41.56;ACC0108;completed;Y
H102823;15/06/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;21.58;ACC0238;completed;N
H102824;03/10/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;3;20.87;ACC0162;completed;N
H102825;21/02/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;-1;150.44;ACC0203;cancelled;Y
H102826;12/04/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;1;181.01;ACC0178;completed;Y
H102827;20/06/2024;Norwich Depot;East;TL-01;Telehandler 4m;1;176.1;ACC0063;completed;Y
H102828;26/09/2023;Leeds Depot;North;WP-02;Water Pump 2in;3;23.0;ACC0168;completed;Y
H102829;24/06/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;80.72;;completed;N
H102830;24/12/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;7;72.37;ACC0052;completed;Y
H102831;22/06/2024;Norwich Depot;East;TL-01;Telehandler 4m;1;201.64;ACC0002;completed;Y
H102832;27/07/2023;Leeds Depot;North;GEN-60;60kVA Generator;2;96.39;ACC0001;completed;Y
H102833;27/05/2023;Norwich Depot;East;WP-02;Water Pump 2in;2;23.06;ACC0041;completed;Y
H102834;09/07/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;23.48;ACC0119;completed;N
H102835;02/11/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;-3;21.2;;cancelled;Y
H102836;21/05/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;3;189.5;ACC0115;completed;Y
H102837;27/07/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;91.64;ACC0184;completed;Y
H102838;20/10/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;-2;80.68;;cancelled;Y
H102839;14/08/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;34.14;ACC0076;completed;N
H102840;10/08/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;2;77.62;ACC0171;completed;N
H102841;10/12/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;1;54.67;ACC0081;completed;Y
H102842;25/12/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;5;83.44;ACC0076;completed;Y
H102843;17/08/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;2;36.41;ACC0247;completed;N
H102844;14/01/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;28;78.85;ACC0240;completed;Y
H102845;12/04/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;142.42;;completed;Y
H102846;14/05/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;96.37;ACC0066;completed;Y
H102847;12/10/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;90.06;ACC0206;completed;Y
H102848;27/05/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;7;92.82;ACC0007;completed;N
H102849;16/05/2024;Bristol Depot;South West;GEN-60;60kVA Generator;3;100.63;ACC0008;completed;Y
H102850;02/04/2024;Norwich Depot;East;GEN-60;60kVA Generator;3;97.35;ACC0068;completed;N
H102851;04/07/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;62.13;ACC0068;completed;Y
H102852;15/08/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;3;36.43;ACC0050;completed;Y
H102853;03/04/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;14;32.42;ACC0234;open;N
H102854;27/07/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;51.61;ACC0255;completed;Y
H102855;14/09/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;21.62;;open;Y
H102856;01/04/2023;Cardiff Depot;Wales;PB-15;Powered Barrow;3;38.44;ACC0084;completed;Y
H102857;05/04/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;-3;32.78;ACC0189;cancelled;Y
H102858;02/11/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;151.93;ACC0072;completed;Y
H102859;03/09/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;34.47;ACC0180;completed;Y
H102860;21/05/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;1;147.03;ACC0144;completed;Y
H102861;15/04/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;35.89;ACC0020;completed;Y
H102862;07/07/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;3;23.65;ACC0007;completed;Y
H102863;26/12/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;99.75;ACC0089;completed;Y
H102864;23/01/2024;Norwich Depot;East;WP-02;Water Pump 2in;3;23.17;ACC0076;completed;N
H102865;29/02/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;7;148.82;ACC0226;completed;Y
H102866;25/09/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;34.54;ACC0113;completed;Y
H102867;12/09/2023;Bristol Depot;South West;TL-01;Telehandler 4m;2;179.61;ACC0012;completed;Y
H102868;31/05/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;2;82.49;ACC0188;completed;Y
H102869;18/05/2023;Leeds Depot;North;WP-02;Water Pump 2in;1;23.09;ACC0177;completed;Y
H102870;20/11/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;32.1;ACC0050;completed;Y
H102871;29/09/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;3;63.81;ACC0083;completed;Y
H102872;24/06/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;55.86;;open;Y
H102873;18/11/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;5;99.8;ACC0035;completed;Y
H102874;22/06/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;2;81.52;;completed;Y
H102875;06/02/2024;Bristol Depot;South West;GEN-60;60kVA Generator;1;95.8;ACC0232;completed;N
H102876;08/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;82.41;ACC0137;completed;Y
H102877;16/09/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;7;81.32;ACC0178;completed;Y
H102878;10/09/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;2;39.0;ACC0193;completed;Y
H102879;18/10/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;2;146.42;ACC0056;open;Y
H102880;22/09/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;33.94;;completed;Y
H102881;30/12/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;1;134.75;ACC0135;completed;Y
H102882;22/12/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;2;60.7;ACC0074;completed;N
H102883;10/12/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;14;34.9;ACC0058;completed;Y
H102884;24/11/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;1;147.68;ACC0043;completed;N
H102885;28/08/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;2;52.64;ACC0170;open;Y
H102886;19/04/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;22.82;ACC0087;completed;Y
H102887;11/10/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;91.47;ACC0140;completed;Y
H102888;06/03/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;-2;62.39;;cancelled;Y
H102889;05/09/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;155.59;ACC0057;completed;Y
H102890;16/06/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;63.83;ACC0169;completed;Y
H102891;26/05/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-1;21.95;ACC0169;cancelled;Y
H102892;19/04/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;28;21.88;ACC0027;completed;Y
H102893;05/04/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;5;95.17;ACC0112;completed;Y
H102894;16/11/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;7;137.8;ACC0249;completed;Y
H102895;29/09/2023;Norwich Depot;East;PB-15;Powered Barrow;7;43.87;ACC0007;completed;N
H102896;19/12/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;-1;78.45;ACC0059;cancelled;Y
H102897;29/09/2024;Norwich Depot;East;SF-TOW;Site Tower Light;1;48.32;ACC0204;completed;Y
H102898;07/08/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;2;31.81;ACC0067;completed;Y
H102899;18/05/2024;Leeds Depot;North;SF-TOW;Site Tower Light;-2;51.89;ACC0144;cancelled;Y
H102900;01/11/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;95.1;ACC0094;completed;Y
H102901;05/10/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;23.14;ACC0119;completed;Y
H102902;03/08/2024;Bristol Depot;South West;EX-140;13T Excavator;7;300.78;ACC0172;completed;Y
H102903;29/03/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;28;82.15;ACC0260;completed;Y
H102904;29/03/2024;Norwich Depot;East;SF-TOW;Site Tower Light;14;53.31;;completed;Y
H102905;26/04/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;2;52.57;ACC0204;completed;N
H102906;21/04/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;21.48;ACC0212;completed;N
H102907;07/05/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;3;21.26;ACC0137;completed;Y
H102908;20/12/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;102.99;ACC0140;completed;Y
H102909;13/08/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;64.37;ACC0197;completed;Y
H102910;06/11/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;34.02;ACC0062;completed;Y
H102911;26/06/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;7;72.26;;completed;Y
H102912;28/06/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;28;41.64;ACC0169;completed;Y
H102913;22/07/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;22.66;ACC0071;completed;Y
H102914;12/09/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;7;23.03;ACC0122;completed;Y
H102915;28/02/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;36.55;ACC0083;completed;Y
H102916;31/10/2023;Leeds Depot;North;SF-TOW;Site Tower Light;28;54.69;ACC0138;open;Y
H102917;26/05/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;21.54;ACC0126;completed;Y
H102918;04/05/2023;Cardiff Depot;Wales;SF-TOW;Site Tower Light;28;55.32;ACC0037;completed;Y
H102919;10/11/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;63.14;ACC0151;completed;Y
H102920;13/10/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;90.84;ACC0207;completed;Y
H102921;16/02/2024;Leeds Depot;North;PB-15;Powered Barrow;2;38.07;ACC0096;completed;N
H102922;17/12/2024;Bristol Depot;South West;WP-02;Water Pump 2in;-7;21.88;ACC0038;cancelled;Y
H102923;05/04/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;23.02;ACC0192;completed;Y
H102924;29/04/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;-1;36.18;ACC0078;cancelled;Y
H102925;06/08/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;7;152.16;ACC0097;completed;Y
H102926;25/11/2024;Bristol Depot;South West;GEN-60;60kVA Generator;3;92.31;ACC0067;open;N
H102927;19/05/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;3;74.14;ACC0212;completed;Y
H102928;22/07/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;2;59.59;ACC0120;completed;Y
H102929;12/04/2024;Leeds Depot;North;SF-TOW;Site Tower Light;2;54.27;ACC0217;completed;Y
H102930;05/10/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;73.28;ACC0085;completed;Y
H102931;29/04/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;59.58;ACC0167;completed;Y
H102932;29/05/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;14;35.44;ACC0009;completed;N
H102933;25/03/2024;Leeds Depot;North;TL-01;Telehandler 4m;-2;200.61;ACC0013;cancelled;N
H102934;19/06/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;22.32;ACC0034;completed;N
H102935;05/06/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;1;34.46;ACC0071;completed;Y
H102936;24/06/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;5;79.19;;completed;Y
H102937;02/11/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;1;53.09;ACC0089;completed;Y
H102938;14/09/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;33.02;;completed;Y
H102939;18/07/2023;Cardiff Depot;Wales;SF-TOW;Site Tower Light;2;55.04;ACC0072;completed;Y
H102940;09/08/2024;Norwich Depot;East;GEN-60;60kVA Generator;2;101.26;ACC0115;completed;N
H102941;09/06/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;145.34;;completed;Y
H102942;29/09/2023;Cardiff Depot;Wales;PB-15;Powered Barrow;5;42.61;ACC0246;completed;Y
H102943;26/06/2024;Bristol Depot;South West;PB-15;Powered Barrow;1;40.57;ACC0039;open;Y
H102944;11/09/2024;Norwich Depot;East;GEN-60;60kVA Generator;2;91.79;ACC0149;completed;Y
H102945;29/09/2023;Bristol Depot;South West;WP-02;Water Pump 2in;1;21.61;ACC0018;completed;Y
H102946;23/10/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;76.32;;completed;Y
H102947;02/11/2023;Cardiff Depot;Wales;SF-TOW;Site Tower Light;3;51.36;ACC0215;completed;Y
H102948;29/08/2023;Leeds Depot;North;GEN-60;60kVA Generator;1;89.97;ACC0132;completed;Y
H102949;27/06/2024;Leeds Depot;North;GEN-60;60kVA Generator;2;103.35;ACC0149;completed;Y
H102950;29/02/2024;Bristol Depot;South West;PB-15;Powered Barrow;14;43.47;ACC0244;completed;Y
H102951;06/09/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;3;31.38;ACC0096;completed;Y
H102952;17/05/2023;Leeds Depot;North;EX-140;13T Excavator;1;326.15;;completed;Y
H102953;30/09/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;23.7;ACC0041;completed;Y
H102954;18/09/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;98.22;ACC0120;open;Y
H102955;06/05/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;23.01;ACC0145;completed;Y
H102956;10/02/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;2;175.17;ACC0129;completed;Y
H102957;29/05/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;14;31.55;ACC0215;completed;Y
H102958;06/09/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;33.23;ACC0155;completed;Y
H102959;11/08/2023;Norwich Depot;East;EX-140;13T Excavator;7;314.15;ACC0086;completed;Y
H102960;14/02/2024;Leeds Depot;North;SF-TOW;Site Tower Light;1;52.95;ACC0213;completed;Y
H102961;07/04/2024;Leeds Depot;North;PB-15;Powered Barrow;2;38.85;ACC0252;completed;Y
H102962;25/05/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;14;136.81;ACC0229;completed;Y
H102963;16/12/2024;Bristol Depot;South West;PB-15;Powered Barrow;3;41.51;ACC0248;completed;Y
H102964;09/11/2023;Leeds Depot;North;WP-02;Water Pump 2in;2;23.19;ACC0025;completed;Y
H102965;05/06/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;140.56;ACC0144;completed;Y
H102966;06/10/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;48.87;ACC0122;completed;Y
H102967;15/11/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;23.2;ACC0119;completed;Y
H102968;19/08/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;-28;77.09;;cancelled;N
H102969;08/09/2024;Bristol Depot;South West;WP-02;Water Pump 2in;2;21.74;ACC0108;open;N
H102970;30/11/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;84.57;ACC0187;completed;Y
H102971;20/01/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;50.11;ACC0034;completed;Y
H102972;28/08/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;72.26;ACC0089;completed;Y
H102973;09/04/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;34.88;ACC0226;completed;Y
H102974;08/11/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;-1;81.74;;cancelled;N
H102975;06/08/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;91.53;;completed;N
H102976;13/06/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;33.96;ACC0245;completed;Y
H102977;02/06/2024;Leeds Depot;North;GEN-60;60kVA Generator;28;97.47;;completed;Y
H102978;05/01/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;1;44.01;ACC0049;completed;Y
H102979;30/03/2024;Leeds Depot;North;SF-TOW;Site Tower Light;5;53.28;ACC0209;completed;Y
H102980;10/09/2024;Leeds Depot;North;WP-02;Water Pump 2in;1;20.91;ACC0150;completed;Y
H102981;16/07/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;7;41.01;ACC0162;completed;Y
H102982;24/11/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;7;75.54;ACC0184;completed;Y
H102983;23/05/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;1;48.99;ACC0168;completed;Y
H102984;17/12/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;-5;101.64;ACC0051;cancelled;N
H102985;20/12/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;21.99;ACC0255;completed;Y
H102986;14/03/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;22.71;ACC0096;completed;Y
H102987;03/10/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.89;ACC0035;completed;Y
H102988;14/05/2024;Norwich Depot;East;HD-BRK;Hydraulic Breaker;-14;64.06;ACC0124;cancelled;Y
H102989;28/12/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;7;44.2;ACC0089;completed;Y
H102990;04/09/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;1;298.55;ACC0129;completed;Y
H102991;29/11/2023;Leeds Depot;North;TL-01;Telehandler 4m;1;200.73;ACC0063;completed;Y
H102992;27/10/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;32.1;;completed;Y
H102993;08/07/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;2;79.51;ACC0236;completed;Y
H102994;18/01/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;24.29;ACC0058;completed;Y
H102995;02/05/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;154.64;ACC0039;completed;Y
H102996;29/12/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;3;73.08;ACC0228;completed;Y
H102997;03/09/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;96.78;ACC0005;completed;N
H102998;08/02/2024;Norwich Depot;East;SF-TOW;Site Tower Light;3;50.29;;completed;N
H102999;04/10/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;14;24.16;ACC0016;completed;Y
H103000;08/10/2023;Bristol Depot;South West;WP-02;Water Pump 2in;1;24.08;ACC0061;open;Y
H103001;25/09/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;141.37;ACC0138;completed;Y
H103002;12/11/2024;Norwich Depot;East;PB-15;Powered Barrow;14;42.68;ACC0191;completed;Y
H103003;28/12/2024;Norwich Depot;East;PB-15;Powered Barrow;1;39.41;ACC0187;completed;Y
H103004;07/12/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;5;75.88;ACC0177;completed;Y
H103005;17/06/2023;Cardiff Depot;Wales;SF-TOW;Site Tower Light;-7;48.91;ACC0059;cancelled;Y
H103006;16/11/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;137.43;ACC0115;completed;Y
H103007;20/05/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;14;135.79;ACC0097;open;Y
H103008;25/06/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;33.41;ACC0139;completed;N
H103009;06/12/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;22.41;ACC0252;completed;Y
H103010;26/07/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;64.77;ACC0187;completed;Y
H103011;19/09/2024;Glasgow Depot;Scotland;EX-140;13T Excavator;1;327.36;ACC0157;completed;Y
H103012;06/04/2023;Norwich Depot;East;PB-15;Powered Barrow;2;41.88;ACC0036;completed;N
H103013;25/04/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;14;195.09;ACC0255;completed;N
H103014;19/06/2023;Leeds Depot;North;TL-01;Telehandler 4m;3;187.45;ACC0041;completed;Y
H103015;28/07/2024;Norwich Depot;East;GEN-60;60kVA Generator;-3;101.24;ACC0088;cancelled;Y
H103016;07/12/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;21.16;ACC0009;completed;Y
H103017;27/04/2024;Leeds Depot;North;EX-140;13T Excavator;1;308.96;ACC0230;completed;N
H103018;02/08/2023;Norwich Depot;East;EX-140;13T Excavator;1;298.85;ACC0058;completed;N
H103019;26/06/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;139.54;;completed;Y
H103020;27/11/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;55.69;ACC0123;open;N
H103021;02/03/2024;Cardiff Depot;Wales;EX-140;13T Excavator;1;326.35;;completed;Y
H103022;09/06/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;35.75;ACC0038;completed;Y
H103023;18/11/2024;Bristol Depot;South West;GEN-60;60kVA Generator;-5;100.13;ACC0130;cancelled;Y
H103024;13/09/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;94.69;;completed;Y
H103025;12/04/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;2;52.63;ACC0249;completed;Y
H103026;22/10/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;-7;34.14;ACC0091;cancelled;Y
H103027;21/10/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;2;83.22;ACC0059;completed;Y
H103028;03/12/2023;Norwich Depot;East;PB-15;Powered Barrow;2;43.71;;completed;Y
H103029;22/09/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;48.9;ACC0249;completed;N
H103030;20/09/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;5;64.1;ACC0065;completed;Y
H103031;21/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;31.87;ACC0223;completed;Y
H103032;21/04/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;3;143.92;ACC0154;completed;Y
H103033;10/09/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;7;150.95;;completed;Y
H103034;22/12/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;97.6;ACC0128;completed;Y
H103035;17/10/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;14;48.8;ACC0210;completed;Y
H103036;20/09/2023;Bristol Depot;South West;WP-02;Water Pump 2in;28;24.27;ACC0199;completed;Y
H103037;10/11/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;5;42.24;ACC0090;completed;Y
H103038;25/09/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;3;68.06;ACC0160;completed;N
H103039;31/08/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;62.38;ACC0144;completed;N
H103040;07/02/2024;Norwich Depot;East;SF-TOW;Site Tower Light;2;48.18;;completed;Y
H103041;13/10/2023;Norwich Depot;East;TL-01;Telehandler 4m;14;181.24;ACC0016;open;Y
H103042;10/10/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;93.37;ACC0242;open;Y
H103043;04/09/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;35.53;ACC0106;completed;Y
H103044;26/07/2024;Leeds Depot;North;SF-TOW;Site Tower Light;3;53.1;;completed;Y
H103045;09/10/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;21.75;ACC0106;completed;Y
H103046;14/12/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;5;82.22;ACC0174;completed;Y
H103047;11/05/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;5;81.85;ACC0163;completed;Y
H103048;16/05/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;1;39.96;ACC0120;completed;N
H103049;21/06/2023;Norwich Depot;East;HD-BRK;Hydraulic Breaker;2;64.83;ACC0039;completed;N
H103050;01/05/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;2;193.88;ACC0084;completed;Y
H103051;04/09/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;90.2;ACC0247;completed;Y
H103052;05/07/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;43.79;ACC0046;completed;Y
H103053;25/11/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;1;91.35;ACC0069;open;Y
H103054;19/08/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;22.04;ACC0205;completed;N
